05/18 02:20:06 AM <utils.Bunch object at 0x7fa2e488a1d0>
05/18 02:20:23 AM Genotype(normal=[('skip_connect', 1), ('dil_conv_3x3', 0), ('max_pool_3x3', 2), ('max_pool_3x3', 1), ('sep_conv_5x5', 3), ('sep_conv_3x3', 2), ('sep_conv_5x5', 3), ('sep_conv_5x5', 1)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 1), ('max_pool_3x3', 0), ('sep_conv_5x5', 0), ('sep_conv_3x3', 2), ('sep_conv_5x5', 1), ('dil_conv_5x5', 3), ('skip_connect', 2), ('dil_conv_3x3', 3)], reduce_concat=range(2, 6))
05/18 02:20:23 AM --------- Epoch: 0 ----------
05/18 02:20:59 AM Epoch: [0][42/3750]	Time 0.821 (0.843)	Data 0.004 (0.022)	W 0.606 (0.610)	support acc: [0.25 0.59 0.74 0.78 0.81]	 query acc: [0.32666667 0.35333333 0.36333333 0.36333333 0.37      ]
05/18 02:21:00 AM Epoch: [0][43/3750]	Time 0.821 (0.842)	Data 0.005 (0.021)	W 0.605 (0.610)	support acc: [0.2  0.61 0.79 0.83 0.85]	 query acc: [0.35       0.38333333 0.39       0.4        0.41666667]
05/18 02:21:01 AM Epoch: [0][44/3750]	Time 0.821 (0.842)	Data 0.005 (0.021)	W 0.605 (0.610)	support acc: [0.2  0.6  0.68 0.76 0.81]	 query acc: [0.40666667 0.45666667 0.48666667 0.47666667 0.47333333]
05/18 02:21:02 AM Epoch: [0][45/3750]	Time 0.820 (0.841)	Data 0.005 (0.020)	W 0.603 (0.610)	support acc: [0.23 0.58 0.79 0.83 0.88]	 query acc: [0.36       0.41       0.42333333 0.4        0.42333333]
05/18 02:21:02 AM Epoch: [0][46/3750]	Time 0.820 (0.841)	Data 0.005 (0.020)	W 0.604 (0.610)	support acc: [0.17 0.56 0.69 0.75 0.81]	 query acc: [0.32666667 0.38       0.37       0.35       0.36666667]
05/18 02:21:03 AM Epoch: [0][47/3750]	Time 0.819 (0.840)	Data 0.005 (0.020)	W 0.603 (0.610)	support acc: [0.19 0.68 0.72 0.75 0.81]	 query acc: [0.38       0.41       0.42666667 0.43333333 0.43666667]
05/18 02:21:04 AM Epoch: [0][48/3750]	Time 0.819 (0.840)	Data 0.005 (0.019)	W 0.605 (0.610)	support acc: [0.21 0.7  0.74 0.83 0.85]	 query acc: [0.44       0.46       0.46       0.47666667 0.47666667]
05/18 02:21:05 AM Epoch: [0][49/3750]	Time 0.812 (0.839)	Data 0.005 (0.019)	W 0.598 (0.609)	support acc: [0.18 0.6  0.79 0.8  0.83]	 query acc: [0.37333333 0.37666667 0.41666667 0.41666667 0.43      ]
05/18 02:21:06 AM Epoch: [0][50/3750]	Time 0.820 (0.839)	Data 0.005 (0.019)	W 0.605 (0.609)	support acc: [0.19 0.65 0.71 0.79 0.74]	 query acc: [0.37       0.37333333 0.40666667 0.36       0.42333333]
05/18 02:21:06 AM Epoch: [0][51/3750]	Time 0.820 (0.839)	Data 0.005 (0.019)	W 0.605 (0.609)	support acc: [0.26 0.68 0.81 0.77 0.87]	 query acc: [0.42       0.44666667 0.43666667 0.41       0.45      ]
05/18 02:21:07 AM Epoch: [0][52/3750]	Time 0.820 (0.838)	Data 0.005 (0.018)	W 0.605 (0.609)	support acc: [0.17 0.6  0.76 0.77 0.79]	 query acc: [0.42333333 0.48333333 0.49       0.49       0.5       ]
05/18 02:21:08 AM Epoch: [0][53/3750]	Time 0.819 (0.838)	Data 0.005 (0.018)	W 0.604 (0.609)	support acc: [0.16 0.6  0.79 0.85 0.84]	 query acc: [0.42666667 0.45666667 0.48333333 0.47333333 0.45      ]
05/18 02:21:09 AM Epoch: [0][54/3750]	Time 0.820 (0.838)	Data 0.005 (0.018)	W 0.606 (0.609)	support acc: [0.16 0.59 0.72 0.82 0.81]	 query acc: [0.42333333 0.45333333 0.46       0.46       0.48      ]
05/18 02:21:10 AM Epoch: [0][55/3750]	Time 0.821 (0.837)	Data 0.005 (0.018)	W 0.606 (0.609)	support acc: [0.2  0.67 0.77 0.78 0.88]	 query acc: [0.4        0.44333333 0.47333333 0.46       0.47333333]
05/18 02:21:11 AM Epoch: [0][56/3750]	Time 0.820 (0.837)	Data 0.004 (0.017)	W 0.606 (0.609)	support acc: [0.11 0.61 0.68 0.81 0.79]	 query acc: [0.36       0.40666667 0.44333333 0.44666667 0.42666667]
05/18 02:21:11 AM Epoch: [0][57/3750]	Time 0.819 (0.837)	Data 0.005 (0.017)	W 0.605 (0.609)	support acc: [0.12 0.57 0.72 0.82 0.86]	 query acc: [0.4        0.37333333 0.42666667 0.43       0.44666667]
05/18 02:21:12 AM Epoch: [0][58/3750]	Time 0.819 (0.836)	Data 0.004 (0.017)	W 0.605 (0.609)	support acc: [0.24 0.69 0.79 0.84 0.88]	 query acc: [0.46       0.47333333 0.49666667 0.50333333 0.50333333]
05/18 02:21:13 AM Epoch: [0][59/3750]	Time 0.819 (0.836)	Data 0.005 (0.017)	W 0.605 (0.609)	support acc: [0.24 0.62 0.77 0.79 0.84]	 query acc: [0.33666667 0.35333333 0.39333333 0.35       0.39333333]
05/18 02:21:14 AM Epoch: [0][60/3750]	Time 0.821 (0.836)	Data 0.005 (0.017)	W 0.605 (0.609)	support acc: [0.32 0.73 0.84 0.85 0.84]	 query acc: [0.41333333 0.44666667 0.43666667 0.45       0.41      ]
05/18 02:21:15 AM Epoch: [0][61/3750]	Time 0.825 (0.836)	Data 0.006 (0.016)	W 0.606 (0.609)	support acc: [0.21 0.62 0.79 0.81 0.82]	 query acc: [0.36666667 0.42333333 0.42333333 0.42666667 0.42      ]
05/18 02:21:15 AM Epoch: [0][62/3750]	Time 0.823 (0.836)	Data 0.005 (0.016)	W 0.605 (0.609)	support acc: [0.32 0.67 0.73 0.83 0.85]	 query acc: [0.44       0.44       0.47666667 0.47       0.48666667]
05/18 02:21:16 AM Epoch: [0][63/3750]	Time 0.825 (0.835)	Data 0.005 (0.016)	W 0.607 (0.608)	support acc: [0.18 0.61 0.71 0.78 0.8 ]	 query acc: [0.38333333 0.42666667 0.43       0.45333333 0.44      ]
05/18 02:21:17 AM Epoch: [0][64/3750]	Time 0.822 (0.835)	Data 0.004 (0.016)	W 0.605 (0.608)	support acc: [0.27 0.63 0.72 0.76 0.8 ]	 query acc: [0.35333333 0.39666667 0.4        0.39       0.42666667]
05/18 02:21:18 AM Epoch: [0][65/3750]	Time 0.822 (0.835)	Data 0.005 (0.016)	W 0.606 (0.608)	support acc: [0.16 0.61 0.71 0.82 0.82]	 query acc: [0.42       0.47666667 0.45666667 0.49333333 0.46      ]
05/18 02:21:19 AM Epoch: [0][66/3750]	Time 0.874 (0.836)	Data 0.005 (0.016)	W 0.658 (0.609)	support acc: [0.18 0.64 0.77 0.8  0.82]	 query acc: [0.41       0.46333333 0.46       0.44666667 0.46666667]
05/18 02:21:20 AM Epoch: [0][67/3750]	Time 0.822 (0.835)	Data 0.005 (0.015)	W 0.606 (0.609)	support acc: [0.21 0.7  0.76 0.82 0.92]	 query acc: [0.41333333 0.47333333 0.5        0.51666667 0.50333333]
05/18 02:21:20 AM Epoch: [0][68/3750]	Time 0.822 (0.835)	Data 0.005 (0.015)	W 0.605 (0.609)	support acc: [0.21 0.67 0.75 0.79 0.79]	 query acc: [0.49333333 0.50666667 0.50666667 0.50666667 0.52      ]
05/18 02:21:21 AM Epoch: [0][69/3750]	Time 0.824 (0.835)	Data 0.005 (0.015)	W 0.607 (0.609)	support acc: [0.17 0.68 0.71 0.77 0.78]	 query acc: [0.41333333 0.44       0.43666667 0.44333333 0.45      ]
05/18 02:21:22 AM Epoch: [0][70/3750]	Time 0.817 (0.835)	Data 0.005 (0.015)	W 0.601 (0.609)	support acc: [0.22 0.67 0.77 0.81 0.82]	 query acc: [0.44333333 0.43       0.44333333 0.46666667 0.46333333]
05/18 02:21:23 AM Epoch: [0][71/3750]	Time 0.822 (0.835)	Data 0.005 (0.015)	W 0.606 (0.609)	support acc: [0.21 0.62 0.76 0.85 0.89]	 query acc: [0.42       0.43       0.44333333 0.46       0.46666667]
05/18 02:21:24 AM Epoch: [0][72/3750]	Time 0.822 (0.834)	Data 0.005 (0.015)	W 0.605 (0.609)	support acc: [0.26 0.59 0.81 0.84 0.8 ]	 query acc: [0.36333333 0.37666667 0.39666667 0.35666667 0.42666667]
05/18 02:21:25 AM Epoch: [0][73/3750]	Time 0.821 (0.834)	Data 0.005 (0.014)	W 0.604 (0.609)	support acc: [0.22 0.64 0.76 0.81 0.84]	 query acc: [0.43       0.44333333 0.45666667 0.44333333 0.48333333]
05/18 02:21:25 AM Epoch: [0][74/3750]	Time 0.821 (0.834)	Data 0.005 (0.014)	W 0.604 (0.609)	support acc: [0.2  0.63 0.75 0.83 0.84]	 query acc: [0.35       0.34333333 0.36333333 0.34       0.37      ]
05/18 02:21:26 AM Epoch: [0][75/3750]	Time 0.827 (0.834)	Data 0.005 (0.014)	W 0.604 (0.609)	support acc: [0.13 0.69 0.78 0.87 0.85]	 query acc: [0.39666667 0.44333333 0.44666667 0.46333333 0.46      ]
05/18 02:21:27 AM Epoch: [0][76/3750]	Time 0.823 (0.834)	Data 0.005 (0.014)	W 0.606 (0.609)	support acc: [0.19 0.67 0.74 0.82 0.84]	 query acc: [0.37333333 0.38333333 0.41       0.42333333 0.42666667]
05/18 02:21:28 AM Epoch: [0][77/3750]	Time 0.824 (0.834)	Data 0.005 (0.014)	W 0.607 (0.609)	support acc: [0.2  0.62 0.72 0.78 0.83]	 query acc: [0.31       0.32333333 0.34333333 0.38       0.37666667]
05/18 02:21:29 AM Epoch: [0][78/3750]	Time 0.822 (0.834)	Data 0.005 (0.014)	W 0.606 (0.609)	support acc: [0.21 0.69 0.75 0.81 0.84]	 query acc: [0.40666667 0.37333333 0.41333333 0.41333333 0.43666667]
05/18 02:21:29 AM Epoch: [0][79/3750]	Time 0.820 (0.833)	Data 0.005 (0.014)	W 0.605 (0.608)	support acc: [0.13 0.59 0.73 0.81 0.88]	 query acc: [0.39       0.42666667 0.43666667 0.44666667 0.43333333]
05/18 02:21:30 AM Epoch: [0][80/3750]	Time 0.819 (0.833)	Data 0.004 (0.014)	W 0.604 (0.608)	support acc: [0.24 0.72 0.78 0.81 0.82]	 query acc: [0.43333333 0.44333333 0.44333333 0.44       0.46666667]
05/18 02:21:31 AM Epoch: [0][81/3750]	Time 0.821 (0.833)	Data 0.005 (0.014)	W 0.605 (0.608)	support acc: [0.25 0.67 0.76 0.82 0.85]	 query acc: [0.40666667 0.42       0.45666667 0.43666667 0.47666667]
05/18 02:21:32 AM Epoch: [0][82/3750]	Time 0.824 (0.833)	Data 0.005 (0.013)	W 0.606 (0.608)	support acc: [0.18 0.72 0.82 0.86 0.86]	 query acc: [0.51333333 0.52666667 0.53666667 0.53333333 0.51333333]
05/18 02:21:33 AM Epoch: [0][83/3750]	Time 0.822 (0.833)	Data 0.005 (0.013)	W 0.607 (0.608)	support acc: [0.2  0.74 0.8  0.83 0.87]	 query acc: [0.39333333 0.43333333 0.41       0.44333333 0.43666667]
05/18 02:21:34 AM Epoch: [0][84/3750]	Time 0.823 (0.833)	Data 0.004 (0.013)	W 0.607 (0.608)	support acc: [0.16 0.58 0.77 0.81 0.86]	 query acc: [0.41666667 0.46       0.47       0.45666667 0.46666667]
